txn_id,amount,balance,reference,counterparty,status
0,39565.4,1960434.6,423823df-672d-4ce0-a507-8782bd784c68,Apex Tech Pvt Ltd,matched
1,23736.34,1984170.9400000002,66444d44-cff6-4567-9c89-33c4750077e2,Global Solutions LLP,partial
2,883.8199999999999,1985054.7600000002,d06f1124-ca79-4e83-8ad7-d48b1eef3622,BlueStar Traders Pvt Ltd,matched
3,24733.98,2009788.7400000002,f116c4b8-7366-43e2-bb8f-020a466d219c,Green Tech Ltd,matched
5,58936.28,2068725.0200000003,bab35e67-8173-457f-aabc-c9071f69e512,Global Tech Pvt Ltd,matched
6,55430.5,2013294.5200000003,614a48a1-8a51-40e3-9064-e144bb747b02,Shree Solutions Ltd,matched
7,22067.18,2035361.7000000002,ded63c47-857d-40bf-9ccd-4f8219d57d07,BlueStar Logistics Ltd,matched
8,4894.64,2030467.0600000003,e53d08ab-c006-479f-9f92-fb112e5508fa,Apex Tech Pvt Ltd,matched
9,50690.44,2081157.5000000002,f6a46785-2525-4940-a641-9d38dde3b3a5,Global Solutions LLP,matched
11,1913.96,2079243.5400000003,c3a8f68e-5b3d-4305-8470-c62f06c8d45a,Shree Solutions Pvt Ltd,matched
12,10935.06,2090178.6000000003,2e137ab6-5a1d-49eb-a784-41ddaa4c8493,Global Tech Pvt Ltd,matched
13,12735.74,2077442.8600000003,87fb8d36-247d-4ed4-abae-f108650e7657,Global Enterprises Ltd,matched
14,24711.56,2052731.3000000003,2681c9a0-a3c1-48e8-919d-99a12570fbdb,Shree Logistics Pvt Ltd,matched
16,10627.08,2042104.2200000002,86537c63-918a-4f60-9194-c7ecfc803fc1,Apex Tech Ltd,matched
17,58994.1,2101098.3200000003,288d4804-67b4-487b-8177-85cda02e77da,Green Enterprises Ltd,matched
18,5405.58,2095692.7400000002,b1f3f73e-7378-4581-841e-6fad92a80a46,Om Sai Traders Ltd,matched
20,58655.44,2154348.18,770499d7-db58-4b98-9cf7-929d7a09c9f3,Om Sai Logistics Pvt Ltd,matched
21,38204.86,2116143.3200000003,2d88b92e-6ac1-4d9c-b302-967f33b64c62,Green Logistics LLP,matched
22,18875.28,2135018.6,aff80bf7-5e22-495e-b09a-951466468618,Apex Traders Ltd,matched
23,33689.0,2168707.6,a0f7a654-e08a-417d-af40-094343c10b97,Apex Tech Ltd,matched
24,19567.94,2188275.54,dc0846de-a403-492b-a42a-233bd3c5af4b,Green Logistics Ltd,matched
25,42118.92,2146156.62,e47ec03f-78fb-48b0-b1de-ce1aaea84aa7,Green Tech LLP,matched
26,47335.7,2193492.3200000003,748f77da-2923-4bd3-bf61-372c1a0874f4,Apex Traders LLP,matched
27,28320.0,2221812.3200000003,844800fc-aeb2-44d1-b562-5e777aa3110f,Apex Tech Ltd,matched
28,269710.24,1952102.0800000003,7e26ede8-8176-479c-97f9-1fbf952554b6,BlueStar Traders LTD,matched
