transaction_id,timestamp,amount,source_entity,destination_entity
TXN00001,2024-01-01 00:00:00.000000000,561.15,Finance Dept,Global Supplies
TXN00002,2024-01-01 02:24:21.654135338,7969.45,Finance Dept,Global Supplies
TXN00003,2024-01-01 04:48:43.308270676,2910.64,Finance Dept,Zenith Logistics
TXN00004,2024-01-01 07:13:04.962406015,1575.13,Operations,Zenith Logistics
TXN00005,2024-01-01 09:37:26.616541353,205.13,Finance Dept,Global Supplies
TXN00006,2024-01-01 12:01:48.270676691,205.11,Admin Dept,QuickFix IT
TXN00007,2024-01-01 14:26:09.924812030,130.67,IT Dept,ABC Corp
TXN00008,2024-01-01 16:50:31.578947368,5399.48,IT Dept,ABC Corp
TXN00009,2024-01-01 19:14:53.233082706,1593.05,Finance Dept,TechNova
TXN00010,2024-01-01 21:39:14.887218045,2607.02,Operations,QuickFix IT
TXN00011,2024-01-02 00:03:36.541353383,109.94,Operations,Zenith Logistics
TXN00012,2024-01-02 02:27:58.195488721,8706.02,Admin Dept,Global Supplies
TXN00013,2024-01-02 04:52:19.849624060,4622.59,Finance Dept,TechNova
TXN00014,2024-01-02 07:16:41.503759398,265.88,IT Dept,ABC Corp
TXN00015,2024-01-02 09:41:03.157894736,231.02,Operations,Zenith Logistics
TXN00016,2024-01-02 12:05:24.812030075,232.71,Finance Dept,Zenith Logistics
TXN00017,2024-01-02 14:29:46.466165413,405.96,Operations,Global Supplies
TXN00018,2024-01-02 16:54:08.120300751,1120.76,Operations,ABC Corp
TXN00019,2024-01-02 19:18:29.774436090,730.95,IT Dept,QuickFix IT
TXN00020,2024-01-02 21:42:51.428571428,382.35,HR Dept,Zenith Logistics
TXN00021,2024-01-03 00:07:13.082706766,1673.81,Admin Dept,Global Supplies
TXN00022,2024-01-03 02:31:34.736842105,190.1,Admin Dept,QuickFix IT
TXN00023,2024-01-03 04:55:56.390977443,383.96,IT Dept,ABC Corp
TXN00024,2024-01-03 07:20:18.045112781,540.41,Operations,Zenith Logistics
TXN00025,2024-01-03 09:44:39.699248120,816.85,Finance Dept,QuickFix IT
TXN00026,2024-01-03 12:09:01.353383458,3718.36,Operations,QuickFix IT
TXN00027,2024-01-03 14:33:23.007518797,250.81,IT Dept,QuickFix IT
TXN00028,2024-01-03 16:57:44.661654135,1067.75,Admin Dept,Zenith Logistics
TXN00029,2024-01-03 19:22:06.315789473,1530.49,Operations,Zenith Logistics
TXN00030,2024-01-03 21:46:27.969924812,123.85,Admin Dept,TechNova
TXN00031,2024-01-04 00:10:49.624060150,1640.93,Finance Dept,ABC Corp
TXN00032,2024-01-04 02:35:11.278195488,219.3,Admin Dept,Global Supplies
TXN00033,2024-01-04 04:59:32.932330827,134.93,Admin Dept,QuickFix IT
TXN00034,2024-01-04 07:23:54.586466165,7902.62,HR Dept,TechNova
TXN00035,2024-01-04 09:48:16.240601503,8536.19,HR Dept,Global Supplies
TXN00036,2024-01-04 12:12:37.894736842,4138.04,HR Dept,TechNova
TXN00037,2024-01-04 14:36:59.548872180,406.66,Admin Dept,Zenith Logistics
TXN00038,2024-01-04 17:01:21.203007518,156.8,IT Dept,QuickFix IT
TXN00039,2024-01-04 19:25:42.857142857,2335.96,Admin Dept,Global Supplies
TXN00040,2024-01-04 21:50:04.511278195,759.11,IT Dept,Global Supplies
TXN00041,2024-01-05 00:14:26.165413533,175.42,IT Dept,Global Supplies
TXN00042,2024-01-05 02:38:47.819548872,978.03,HR Dept,Global Supplies
TXN00043,2024-01-05 05:03:09.473684210,117.16,Operations,Global Supplies
TXN00044,2024-01-05 07:27:31.127819548,6586.29,Finance Dept,TechNova
TXN00045,2024-01-05 09:51:52.781954887,329.28,HR Dept,QuickFix IT
TXN00046,2024-01-05 12:16:14.436090225,2113.71,HR Dept,Zenith Logistics
TXN00047,2024-01-05 14:40:36.090225563,420.17,Operations,Zenith Logistics
TXN00048,2024-01-05 17:04:57.744360902,1096.82,Finance Dept,Zenith Logistics
TXN00049,2024-01-05 19:29:19.398496240,1240.0,Admin Dept,Zenith Logistics
TXN00050,2024-01-05 21:53:41.052631578,234.27,Admin Dept,TechNova
TXN00051,2024-01-06 00:18:02.706766917,8692.99,HR Dept,ABC Corp
TXN00052,2024-01-06 02:42:24.360902255,3550.3,Finance Dept,QuickFix IT
TXN00053,2024-01-06 05:06:46.015037594,7568.29,HR Dept,Global Supplies
TXN00054,2024-01-06 07:31:07.669172932,6161.05,IT Dept,ABC Corp
