voucher_id,voucher_type,entry_date,posting_date,amount,leading_digit,vendor_name,created_by,approved_by,invoice_no,tax,total,reference,supporting_doc,risk_flags,risk_score,is_fraud
0,Receipt,2026-01-15 18:44:20.894309,2026-01-15 18:44:20.894309,33530,3,Apex Tech Pvt Ltd,83,27,cede24ad-24dc-4b6b-8be0-caac6b0e29fe,6035.4,39565.4,423823df-672d-4ce0-a507-8782bd784c68,Contract,Normal,0.0,0
1,Receipt,2026-02-21 03:46:36.241777,2026-02-21 03:46:36.241777,20163,2,Global Solutions LLP,5,75,45a2b4bc-29b5-471e-b48b-3ff4c594e495,3629.34,23792.34,66444d44-cff6-4567-9c89-33c4750077e2,None,Missing Doc,0.86,0
2,Payment,2026-01-05 23:48:12.014110,2026-01-06 23:48:12.014110,749,7,BlueStar Traders Pvt Ltd,39,92,7d11f129-23a7-4f57-85ef-cd4b76d1303f,134.82,883.8199999999999,d06f1124-ca79-4e83-8ad7-d48b1eef3622,Contract,Backdated,0.82,0
3,Payment,2026-03-31 05:35:36.379935,2026-03-31 05:35:36.379935,20961,2,Green Tech Ltd,95,33,381a5476,3772.98,24733.98,f116c4b8-7366-43e2-bb8f-020a466d219c,None,"Missing Doc,Duplicate Pattern",2.18,1
4,Receipt,2026-01-15 02:54:12.124483,2026-01-15 02:54:12.124483,238369,2,Green Solutions Pvt LTD,41,44,f645f957,42906.42,281275.42,467bc887-4b72-4f8c-8907-9edfabade83e,None,"High Value,Odd Timing,Missing Doc,Duplicate Pattern",3.97,1
5,Payment,2026-03-23 03:00:27.849282,2026-03-23 03:00:27.849282,49946,4,Global Tech Pvt Ltd,18,3,99f51e21-8f2f-4b2a-81c4-3fbce67e08e3,8990.28,58936.28,bab35e67-8173-457f-aabc-c9071f69e512,Invoice,Normal,0.0,0
6,Receipt,2026-02-04 21:38:08.108692,2026-02-04 21:38:08.108692,46975,4,Shree Solutions Ltd,82,35,365098e9-deea-4582-84b6-55774d70277e,8455.5,55430.5,614a48a1-8a51-40e3-9064-e144bb747b02,None,Missing Doc,1.5,0
7,Journal,2026-01-09 01:30:22.496642,2026-01-09 01:30:22.496642,18701,1,BlueStar Logistics LTD,25,64,7d761ac9-e9bf-4843-a7cd-29dae24be983,3366.18,22067.18,ded63c47-857d-40bf-9ccd-4f8219d57d07,None,"Missing Doc,Name Variation",1.77,1
8,Receipt,2026-02-23 23:50:49.838174,2026-02-23 23:50:49.838174,4148,4,Apex Tech Pvt Ltd,29,13,3aa53bf9-6c8b-47c9-a53a-9a56e8c1cc74,746.64,4894.64,e53d08ab-c006-479f-9f92-fb112e5508fa,None,Missing Doc,1.03,0
9,Payment,2026-01-16 02:23:21.747042,2026-01-16 02:23:21.747042,42958,4,Global Solutions LLP,17,90,6244c04b-127c-4159-8601-bfab2db1cee8,7732.44,50690.44,f6a46785-2525-4940-a641-9d38dde3b3a5,Invoice,Normal,0.0,0
10,Receipt,2026-03-13 09:16:38.978193,2026-03-13 09:16:38.978193,142377,1,Shree Solutions Ltd,7,63,74a63d48-bf89-4b16-9c5e-b12e04f84ec1,25627.86,168004.86,4d1710c2-646b-4d6e-9e26-1e377ca22b7f,Contract,High Value,1.14,0
11,Payment,2026-01-23 18:50:36.160573,2026-01-23 18:50:36.160573,1622,1,Shree Solutions Pvt Ltd,28,61,a83aa73c-a0c3-4ad5-bad5-1eca5c3edc9f,291.96,1913.96,c3a8f68e-5b3d-4305-8470-c62f06c8d45a,Contract,Normal,0.0,0
12,Journal,2026-04-16 13:51:21.573161,2026-04-17 13:51:21.573161,9267,9,Global Tech Pvt Ltd,67,68,36d835d9-da73-42d1-970b-ba3b7ad8d67e,1668.06,10935.06,2e137ab6-5a1d-49eb-a784-41ddaa4c8493,Invoice,Backdated,1.37,0
13,Payment,2026-01-03 20:55:03.156629,2026-01-03 20:55:03.156629,10793,1,Global Enterprises Ltd,55,94,0a05f41a-de16-497f-a148-d332a9846ece,1942.74,12735.74,87fb8d36-247d-4ed4-abae-f108650e7657,Invoice,Normal,0.0,0
14,Payment,2026-01-05 07:38:46.378813,2026-01-05 07:38:46.378813,20942,2,Shree Logistics Pvt Ltd,43,87,c4b6cb9c-b6b6-4c4b-bab1-c4750242c0a5,3769.56,24711.56,2681c9a0-a3c1-48e8-919d-99a12570fbdb,Invoice,Normal,0.0,0
15,Receipt,2026-01-27 21:49:36.655288,2026-01-27 21:49:36.655288,30487,3,BlueStar Solutions Ltd,64,90,93b8f820-4acf-4102-b0db-fc13ab9f33fa,5487.66,35974.66,753cbd03-f6d3-4129-8029-613a3cba5895,Contract,Normal,0.0,0
16,Journal,2026-02-17 05:17:21.027717,2026-02-17 05:17:21.027717,9006,9,Apex Tech Ltd,52,10,81d5ab42-d83f-412c-9512-a4cac023a8da,1621.08,10627.08,86537c63-918a-4f60-9194-c7ecfc803fc1,Contract,Normal,0.0,0
17,Payment,2026-01-23 14:38:40.421670,2026-01-23 14:38:40.421670,49995,4,Green Enterprises Ltd,41,34,4770952b-79a3-4a7a-8d84-ec8743cfb0df,8999.1,58994.1,288d4804-67b4-487b-8177-85cda02e77da,None,Missing Doc,0.87,0
18,Journal,2026-03-07 14:26:04.937171,2026-03-07 14:26:04.937171,4581,4,Om Sai Traders Ltd,55,52,613ecd73-01fc-4537-b885-09b5b746d8f4,824.58,5405.58,b1f3f73e-7378-4581-841e-6fad92a80a46,None,Missing Doc,0.92,0
19,Payment,2026-01-08 00:52:22.160996,2026-01-08 00:52:22.160996,4256,4,Green Enterprises Ltd,64,39,af767cc1-5d13-42f5-b2eb-88ee1005d2ee,766.08,5022.08,bff83892-9420-4ed3-99c8-a41ee46d1011,None,Missing Doc,0.99,0
20,Receipt,2026-01-18 16:33:35.878333,2026-01-18 16:33:35.878333,49708,4,Om Sai Logistics Pvt Ltd,83,79,ce1ddd0f-0b2f-4187-9d38-1e1815b2cbfa,8947.44,58655.44,770499d7-db58-4b98-9cf7-929d7a09c9f3,Contract,Normal,0.0,0
21,Journal,2026-04-12 21:17:05.212569,2026-04-12 21:17:05.212569,32377,3,Green Logistics LLP,13,87,cb39840b-4f36-4b71-8918-3d33b12b532b,5827.86,38204.86,2d88b92e-6ac1-4d9c-b302-967f33b64c62,None,Missing Doc,1.29,0
22,Journal,2026-03-11 01:50:31.999089,2026-03-11 01:50:31.999089,15996,1,Apex Traders Ltd,42,35,2add2107-76d2-4eb0-9462-5dbaa4c50668,2879.28,18875.28,aff80bf7-5e22-495e-b09a-951466468618,None,Missing Doc,1.46,0
23,Payment,2026-01-16 04:44:58.549149,2026-01-16 04:44:58.549149,28550,2,Apex Tech Ltd,88,56,a9293f84-e869-4a84-a4cf-a3bd19b561bb,5139.0,33689.0,a0f7a654-e08a-417d-af40-094343c10b97,None,Missing Doc,1.41,0
24,Payment,2026-01-01 02:01:50.291204,2026-01-01 22:01:50.291204,16583,1,Green Logistics Ltd,55,96,883e8e33-5d63-4ac7-8db6-429649091334,2984.94,19567.94,dc0846de-a403-492b-a42a-233bd3c5af4b,None,"Odd Timing,Missing Doc",2.93,1
25,Journal,2026-02-28 08:52:51.466457,2026-02-28 08:52:51.466457,35694,3,Green Tech LLP,37,14,629bb17f-3379-4a8d-a2f5-3032fd490d37,6424.92,42118.92,e47ec03f-78fb-48b0-b1de-ce1aaea84aa7,Invoice,Normal,0.0,0
26,Journal,2026-01-20 15:04:42.649068,2026-01-20 15:04:42.649068,40115,4,Apex Traders LLP,28,20,d897f34e-c769-4fe9-8935-7642e046e982,7220.7,47335.7,748f77da-2923-4bd3-bf61-372c1a0874f4,Invoice,Normal,0.0,0
