transaction_id,timestamp,amount,source_entity,destination_entity
TXN61044,2024-07-16,969.65,Finance Dept,Shell Ventures Ltd
TXN60364,2024-03-07,100,Finance Dept,Summit Advisary
TXN61145,2024-11-21,927.96,Procurement,Shell Ventures LLC
TXN61256,2024-10-29,1145.02,Exec Office,Shell Venture
TXN60257,2024-03-10,100,Exec Office,Orion Tech Inc
TXN61027,2024-06-21,5443.52,Exec Office,Exec Office
TXN61378,2024-08-11,933.12,Operations,Shell Ventures
TXN60945,2024-02-03,10000.0,Procurement,Shell Venture Co
TXN60344,2024-03-13,849.78,Admin Dept,Pacific-Trade
TXN60508,2024-10-04,7093.08,Admin Dept,Alpha Consult
TXN60618,2024-07-30,9998.88,Exec Office,Nexus Holdings Inc
TXN61047,2024-07-16,1155.18,Procurement,Shell Ventures Ltd
TXN60307,2024-10-29,976.21,Operations,Pacific Trade Co
TXN60670,2024-12-14,24998.29,Exec Office,Summit Advisory LLC
TXN60368,2024-01-19,178.13,Admin Dept,Shell Ventures
TXN60343,2024-03-27,100,Procurement,NEXUS HOLDINGS
TXN60766,2024-07-21,4998.48,Admin Dept,Nexus Holdings
GHOST61473,2024-08-04,47988.48,Unknown,Ghost Vendor 03
TXN60278,2024-10-25,9999,Admin Dept,Alpha Consulting
TXN60808,2024-05-24,500.0,Admin Dept,OrionTech
TXN61202,2024-02-25,985.33,Finance Dept,Shell Ventures LLC
TXN60445,2024-04-01,7804.9,Operations,Metro Supply
TXN61391,2024-09-17,981.54,Exec Office,Shell Venture
TXN60504,2024-12-19,100,Admin Dept,NEXUS HOLDINGS
TXN61059,2024-05-07,1188.2,Exec Office,Shell Ventures LLC
TXN61113,2024-07-10,964.67,Admin Dept,Shell Ventures
TXN60246,2024-12-13,100,Operations,Pacific Trade
TXN60588,2024-05-03,100,Exec Office,Summit Advisory LLC
TXN60803,2024-06-16,2000.0,Admin Dept,Shell Ventures
TXN60259,2024-05-06,100,Finance Dept,Alpha Consult
TXN60175,2024-06-14,9155.64,Operations,Nexus Holdings
TXN60347,2024-08-09,8141.91,Finance Dept,Metro Supplies Co
TXN60440,2024-11-01,100,Operations,MetroSupplies
TXN60254,2024-12-09,789.03,Admin Dept,Metro Supplies
TXN60117,2024-01-14,100,Admin Dept,Summit Advisors
TXN60973,2024-04-25,25242.28,Finance Dept,Finance Dept
TXN60879,2024-12-09,2000.0,Operations,Shell Venture
TXN60406,2024-11-06,100,Exec Office,Shell Ventures
TXN60691,2024-04-17,998.66,Exec Office,Nexus Holdings Inc
TXN60353,2024-09-21,100,Admin Dept,Alpha Consulting
TXN61329,2024-06-11,1152.44,Exec Office,Shell Ventures
TXN61012,2024-07-11,10599.32,Finance Dept,Finance Dept
TXN60250,2024-03-11,7580.97,Procurement,Alpha Consult
TXN60018,2024-11-24,911.8,Finance Dept,Orion Tech Inc
TXN60813,2024-11-16,7500.0,Admin Dept,Metro Supplies Co
GHOST61499,2024-07-12,41162.54,Unknown,Ghost Vendor 13
TXN60190,2024-07-20,8480.54,Admin Dept,Pacific-Trade
GHOST61474,2024-02-11,54906.23,Unknown,Ghost Vendor 18
TXN61323,2024-01-12,1080.87,Finance Dept,Shell Ventures
TXN61371,2024-07-07,962.03,Operations,Shell Ventures LLC
TXN60219,2024-06-30,7159.93,Exec Office,Alpha Consulting
TXN60283,2024-05-28,100,Finance Dept,NEXUS HOLDINGS
TXN60899,2024-12-16,10000.0,Admin Dept,NEXUS HOLDINGS
TXN60038,2024-06-11,894.22,Finance Dept,Nexus Holdings
TXN60984,2024-11-05,42634.6,Finance Dept,Finance Dept
TXN61227,2024-08-30,1039.05,Procurement,Shell Ventures
TXN61131,2024-04-09,903.32,Finance Dept,Shell Ventures LLC
TXN60954,2024-12-25,18515.44,Exec Office,Exec Office
TXN61013,2024-01-02,49274.04,Procurement,Procurement
TXN60752,2024-08-18,2499.01,Operations,Alpha Consulting
TXN60303,2024-02-28,100,Procurement,Orion Tech
TXN60157,2024-03-18,103.05,Operations,Shell Ventures
TXN60807,2024-05-31,2000.0,Exec Office,Alpha Consulting LLC
TXN60802,2024-08-30,1500.0,Operations,Shell Ventures Ltd
TXN61350,2024-04-06,987.81,Admin Dept,Shell Ventures Ltd
TXN60633,2024-04-29,9999.37,Operations,Summit Advisary
TXN60388,2024-08-29,100,Operations,Pacific Trade Co
TXN60726,2024-07-01,999.33,Finance Dept,Summit Advisory
TXN60235,2024-07-01,100,Admin Dept,AlphaConsulting
TXN60605,2024-06-21,4998.28,Procurement,SummitAdvisory
TXN60166,2024-11-20,100,Procurement,Alpha Consult
TXN60607,2024-09-16,999.77,Exec Office,Pacific Trade Ltd
TXN60669,2024-09-17,4998.06,Finance Dept,MetroSupplies
TXN61206,2024-02-19,1018.02,Operations,Shell Ventures Ltd
TXN60556,2024-07-25,100,Admin Dept,Pacific Trade Ltd
TXN61180,2024-06-09,1181.28,Finance Dept,Shell Ventures
TXN60779,2024-01-13,9999.68,Procurement,Metro Supply
TXN60846,2024-07-17,10000.0,Operations,OrionTech
TXN60647,2024-06-05,24999.96,Operations,Summit Advisors
TXN61381,2024-03-13,919.59,Procurement,Shell Ventures LLC
TXN60324,2024-04-20,917.93,Exec Office,SummitAdvisory
TXN61272,2024-03-27,1024.67,Procurement,Shell Ventures LLC
TXN60277,2024-04-13,100,Operations,NEXUS HOLDINGS
TXN61166,2024-09-26,990.17,Procurement,Shell Venture
TXN60661,2024-04-11,2499.42,Admin Dept,Metro Supplies Co
GHOST61484,2024-06-09,54784.23,Unknown,Ghost Vendor 12
TXN61464,2024-11-28,1172.4,Exec Office,Shell Venture Co
TXN60418,2024-12-14,100,Admin Dept,Pacific Trade Ltd
TXN61277,2024-02-09,1155.91,Finance Dept,Shell Venture
TXN61078,2024-08-19,949.99,Finance Dept,Shell Venture
TXN60442,2024-01-01,100,Operations,OrionTech
TXN60425,2024-09-21,100,Finance Dept,Alpha Consulting LLC
TXN60688,2024-07-17,9999.77,Admin Dept,Shell Ventures LLC
TXN61451,2024-10-29,1027.47,Exec Office,Shell Venture Co
TXN61163,2024-09-26,967.86,Finance Dept,Shell Venture
TXN61340,2024-05-15,955.54,Exec Office,Shell Venture
TXN60883,2024-02-15,500.0,Operations,Summit Advisory LLC
TXN61014,2024-05-10,13501.76,Exec Office,Exec Office
TXN60955,2024-01-31,5503.71,Finance Dept,Finance Dept
TXN61162,2024-09-26,1141.86,Admin Dept,Shell Venture
TXN61382,2024-03-13,1004.35,Admin Dept,Shell Ventures LLC
TXN61418,2024-10-27,1166.94,Admin Dept,Shell Ventures Ltd
TXN61001,2024-12-17,13548.47,Finance Dept,Finance Dept
TXN60408,2024-09-08,100,Exec Office,Orion Tech
TXN60421,2024-02-17,100,Procurement,Pacific Trade Co
TXN61189,2024-10-30,945.01,Procurement,Shell Ventures Ltd
TXN60743,2024-06-12,24998.18,Finance Dept,Orion Tech Inc
TXN60489,2024-05-15,827.75,Procurement,Nexus Holdingz
TXN61213,2024-09-17,972.2,Admin Dept,Shell Ventures LLC
TXN61036,2024-01-09,1193.6,Operations,Shell Venture
TXN61246,2024-05-20,959.0,Finance Dept,Shell Venture Co
TXN60206,2024-02-23,100,Finance Dept,Alpha-Consulting
TXN60263,2024-07-07,100,Finance Dept,Orion Tech Inc
TXN60248,2024-12-15,7541.2,Exec Office,Alpha-Consulting
TXN60131,2024-07-01,2328.94,Operations,Shell Ventures
TXN60763,2024-04-11,2498.97,Finance Dept,Nexus Hold.
TXN60599,2024-12-23,100,Operations,Orion Tech
TXN60288,2024-09-09,927.58,Finance Dept,Pacific Trade
TXN60665,2024-09-27,9998.01,Operations,Shell Ventures Ltd
TXN60494,2024-11-07,992.94,Admin Dept,AlphaConsulting
TXN61462,2024-11-28,1061.71,Admin Dept,Shell Venture Co
TXN61146,2024-11-21,982.73,Admin Dept,Shell Ventures LLC
TXN60708,2024-05-11,4998.72,Admin Dept,Summit Advisors
TXN60076,2024-12-26,100,Admin Dept,Nexus Holdings Inc
TXN60305,2024-01-23,8289.73,Procurement,Metro Supplies Co
TXN60486,2024-07-22,100,Finance Dept,Pacific Trd
TXN60322,2024-05-30,754.47,Operations,Orion Tech Ltd
TXN61221,2024-08-10,1118.81,Operations,Shell Ventures Ltd
TXN60709,2024-06-02,2499.25,Finance Dept,MetroSupplies
TXN60004,2024-06-07,100,Finance Dept,Summit Advisory
TXN60497,2024-06-09,100,Exec Office,OrionTech
TXN61339,2024-05-15,924.6,Admin Dept,Shell Venture
TXN60609,2024-02-16,24998.6,Admin Dept,Alpha Consulting
TXN61124,2024-04-14,988.63,Finance Dept,Shell Ventures Ltd
TXN60024,2024-03-06,100,Finance Dept,Shell Ventures LLC
TXN60730,2024-07-31,24999.67,Admin Dept,Nexus Holdings
TXN60797,2024-10-15,24998.77,Admin Dept,Orion Tech Inc
TXN60174,2024-03-01,8873.85,Admin Dept,OrionTech
TXN60026,2024-06-02,833.73,Finance Dept,Pacific Trade
TXN60365,2024-12-26,100,Procurement,Alpha Consulting
TXN60674,2024-01-03,9999.58,Finance Dept,Pacific Trd
TXN60232,2024-06-20,100,Finance Dept,Pacific Trade Ltd
TXN60638,2024-01-16,2498.03,Admin Dept,Nexus Hold.
TXN60010,2024-02-19,918.34,Exec Office,Metro Supplies
TXN60477,2024-04-06,100,Procurement,Metro Supply
TXN60676,2024-03-20,2499.25,Procurement,Shell Ventures LLC
TXN61212,2024-09-17,1099.88,Admin Dept,Shell Ventures LLC
TXN61409,2024-04-26,1069.55,Admin Dept,Shell Ventures Ltd
TXN60727,2024-02-03,2498.5,Admin Dept,Pacific Trade Ltd
TXN61216,2024-12-26,932.3,Procurement,Shell Venture
TXN60466,2024-08-24,100,Procurement,AlphaConsulting
TXN60549,2024-05-10,100,Operations,Orion Tech Ltd
TXN61327,2024-06-11,1140.11,Admin Dept,Shell Ventures
TXN60877,2024-12-02,1500.0,Finance Dept,Shell Ventures LLC
TXN61440,2024-07-06,951.41,Finance Dept,Shell Ventures LLC
TXN61306,2024-01-04,925.57,Finance Dept,Shell Ventures LLC
TXN60198,2024-11-07,784.43,Finance Dept,Pacific-Trade
TXN60715,2024-12-03,2498.56,Exec Office,Nexus Holdings Inc
TXN61342,2024-05-15,1089.25,Finance Dept,Shell Venture
TXN60993,2024-10-31,44363.82,Finance Dept,Finance Dept
TXN60045,2024-01-06,100,Operations,Orion Tech Inc
TXN60615,2024-04-25,2498.32,Admin Dept,Pacific Trade
TXN60885,2024-12-03,10000.0,Admin Dept,Summit Advisory LLC
TXN61028,2024-05-25,37380.74,Procurement,Procurement
TXN60470,2024-05-25,100,Procurement,Shell Venture
TXN60320,2024-10-19,7086.21,Admin Dept,Summit Advisory
TXN60350,2024-02-21,100,Finance Dept,MetroSupplies
TXN61434,2024-04-01,1038.26,Procurement,Shell Venture
TXN61217,2024-03-05,984.74,Operations,Shell Venture
TXN60664,2024-06-05,4998.87,Exec Office,Summit Advisors
GHOST61475,2024-08-23,56117.36,Unknown,Ghost Vendor 11
TXN60998,2024-12-08,31899.22,Finance Dept,Finance Dept
TXN60914,2024-06-04,5000.0,Operations,Nexus Holdingz
TXN60791,2024-12-18,2498.93,Operations,Summit Advisory LLC
TXN60861,2024-01-01,2000.0,Finance Dept,Alpha Consult
TXN61137,2024-07-09,997.96,Operations,Shell Ventures
TXN61048,2024-01-12,961.54,Procurement,Shell Venture Co
TXN61261,2024-08-08,1140.72,Operations,Shell Ventures
TXN60544,2024-04-13,100,Admin Dept,Nexus Holdingz
TXN60309,2024-08-05,9999,Operations,Orion Tech
TXN60720,2024-08-14,9998.12,Procurement,Nexus Hold.
TXN61088,2024-02-04,1060.1,Admin Dept,Shell Ventures
TXN60875,2024-01-20,20000.0,Procurement,Shell Venture
TXN60064,2024-05-06,9417.61,Finance Dept,MetroSupplies
TXN60261,2024-11-09,8625.54,Exec Office,Pacific Trade Co
TXN60074,2024-05-01,1002.6,Exec Office,Summit Advisory LLC
TXN60824,2024-09-18,2500.0,Operations,Shell Ventures LLC
TXN60976,2024-11-21,34071.84,Finance Dept,Finance Dept
TXN60966,2024-02-07,28102.31,Finance Dept,Finance Dept
TXN60967,2024-11-16,12412.97,Procurement,Procurement
TXN60818,2024-01-09,15000.0,Admin Dept,Summit Advisory
TXN60162,2024-07-30,830.3,Procurement,Orion Tech
TXN60338,2024-02-12,102.54,Exec Office,OrionTech
TXN60666,2024-10-27,999.61,Finance Dept,Pacific Trade Ltd
TXN61375,2024-08-11,947.58,Finance Dept,Shell Ventures
TXN60948,2024-02-14,1000.0,Finance Dept,Nexus Holdings
TXN60088,2024-03-09,925.33,Exec Office,Pacific Trade Co
TXN61442,2024-07-06,932.56,Admin Dept,Shell Ventures LLC
TXN60711,2024-07-26,2498.31,Operations,Nexus Holdingz
TXN61022,2024-02-05,6846.56,Exec Office,Exec Office
TXN60345,2024-01-04,100,Exec Office,Nexus Holdings Inc
TXN61407,2024-12-08,1059.75,Procurement,Shell Venture Co
TXN60794,2024-05-23,2498.17,Operations,Orion Tech Ltd
TXN61041,2024-02-18,932.22,Admin Dept,Shell Venture
TXN61101,2024-02-04,1103.26,Procurement,Shell Ventures Ltd
TXN60649,2024-04-03,2499.61,Exec Office,Orion Tech Inc
TXN60152,2024-11-21,100,Operations,Pacific Trade Co
TXN60265,2024-01-18,782.18,Finance Dept,Pacific Trade Ltd
