transaction_id,timestamp,amount,source_entity,destination_entity
TXN11161,2024-09-17,112992.52,IT Dept,ABC Corp.
TXN10019,2024-11-24,200,IT Dept,BlueWave Media
TXN10506,2024-03-13,805.96,Procurement,Delta Systems
TXN10201,2024-10-30,200,Procurement,Apex Hold.
TXN10611,2024-02-19,3716.66,Operations,ABC Corp Ltd
TXN11201,2024-07-07,74693.75,IT Dept,TechNova Inc
TXN11334,2024-01-16,1363.21,Procurement,TechNova
TXN10384,2024-07-27,200,Admin Dept,Global Supply Co.
TXN10157,2024-01-26,8000,Procurement,BlueWave Media
TXN10418,2024-11-13,3288.83,Legal Dept,QuickFixIT
TXN10770,2024-04-29,200,HR Dept,Global Supplies
TXN11093,2024-03-17,468.69,HR Dept,ABC Corp Ltd
TXN10855,2024-06-02,1749.33,Finance Dept,A.B.C. Corp
TXN11358,2024-12-15,199.99,IT Dept,Northern Trade Co
TXN11056,2024-07-27,368.7,HR Dept,Global Supplies Ltd
TXN10112,2024-09-02,8000.0,IT Dept,Global Supplies
TXN10982,2024-07-29,200,HR Dept,A.B.C. Corp
TXN11376,2024-11-10,201.0,Legal Dept,A.B.C. Corp
TXN11050,2024-01-03,200,Legal Dept,Global Supplies Ltd
TXN10429,2024-05-16,200,IT Dept,GlobalSupplies
TXN11100,2024-06-17,200,Legal Dept,QuickFix IT
TXN10190,2024-03-07,200,Procurement,Quick Fix IT
TXN11256,2024-02-24,9.64,Legal Dept,ABC Corp Ltd
TXN10050,2024-01-02,200,IT Dept,ABC Corporation
TXN10701,2024-02-16,200,Finance Dept,Summit Group
TXN10554,2024-01-05,200,HR Dept,Apex Holdings
TXN10436,2024-05-25,2824.85,IT Dept,Orion Consulting
TXN10520,2024-10-31,200,Finance Dept,QuickFix IT
TXN10620,2024-05-07,3418.66,Procurement,BlueWave Media
TXN10328,2024-05-06,5757.35,Legal Dept,TechNova Ltd
TXN10135,2024-09-12,200,Legal Dept,ABC Corp.
TXN11176,2024-08-06,89306.31,IT Dept,ABC Corp
TXN10186,2024-11-05,5994.63,Operations,Global Supply Co.
TXN10103,2024-05-21,200,Procurement,Northern Trade Co
TXN10952,2024-04-07,748.65,Operations,Zenith Logistics
TXN10219,2024-01-21,298.24,Procurement,TechNova
TXN11323,2024-07-04,199.99,IT Dept,ABC Corp
TXN10772,2024-10-13,200.0,Procurement,QuickFixIT
TXN10404,2024-07-31,200.0,Finance Dept,TechNova Inc
TXN10865,2024-06-14,479.02,Admin Dept,Global Supplies Ltd
TXN10489,2024-10-25,1372.24,Procurement,A.B.C. Corp
TXN10119,2024-04-28,1450.5,IT Dept,ABC Corporation
TXN19096,2024-11-04,100,HR Dept,Zenith Logistics
TXN10415,2024-02-29,200,HR Dept,TechNova Inc
TXN10565,2024-10-13,200,Procurement,Summit Group
TXN10736,2024-11-10,2774.74,Finance Dept,QuickFix I.T.
TXN10492,2024-06-30,2496.13,Operations,TechNova
TXN10585,2024-03-11,200,Admin Dept,Apex Holdings Ltd
TXN10927,2024-07-23,200,HR Dept,QuickFixIT
TXN10381,2024-02-07,200,HR Dept,Apex Holdings Ltd
TXN10641,2024-11-24,200,HR Dept,Northern Trade Co
TXN10449,2024-05-06,3351.54,Legal Dept,ABC Corp.
TXN10318,2024-08-20,200,IT Dept,TechNova Inc
TXN10181,2024-02-25,200,Admin Dept,GlobalSupplies
TXN11243,2024-09-24,44684.82,Procurement,ABC Corporation
TXN10402,2024-09-22,8000,HR Dept,Global Supply Co.
TXN19062,2024-09-14,2074.02,Admin Dept,Global Supplies
TXN10852,2024-12-07,200.0,Legal Dept,ABC Corporation
TXN10879,2024-12-03,200,Finance Dept,Global Supply Co.
TXN10151,2024-03-28,200,Legal Dept,TechNova
TXN19005,2024-05-17,3203.76,Admin Dept,BlueWave Media
TXN10556,2024-11-15,7252.0,Procurement,Global Supply Co.
TXN10017,2024-07-14,200,Finance Dept,QuickFix I.T.
TXN10431,2024-06-13,200,HR Dept,Apex Holdings Ltd
TXN10503,2024-06-07,200,Operations,Global Supplies Ltd
TXN10801,2024-10-31,200,Operations,QuickFixIT
TXN10105,2024-07-26,4400.0,IT Dept,Tech Nova
TXN10354,2024-11-05,200,HR Dept,Apex Holdings Ltd
TXN10949,2024-11-27,333.34,Finance Dept,Apex Holdings LLC
TXN11128,2024-08-03,70444.72,Procurement,A.B.C. Corp
TXN10851,2024-01-26,200,Legal Dept,TechNova Ltd
TXN11230,2024-09-04,28516.64,Operations,Tech Nova
TXN10786,2024-12-11,3746.11,Admin Dept,Quick Fix IT
TXN10776,2024-12-03,777.6,Procurement,A.B.C. Corp
TXN10515,2024-02-25,220.97,IT Dept,TechNova L.T.D.
TXN10788,2024-06-10,200,IT Dept,Northern Trade Co
TXN11388,2024-06-23,200.1,Operations,TechNova Ltd
TXN11071,2024-02-26,1134.49,Operations,BlueWave Media
TXN10529,2024-06-25,200,Finance Dept,Apex Hold.
TXN10420,2024-08-15,8000,Procurement,Orion Consulting
TXN10229,2024-03-19,200,Admin Dept,QuickFix I.T.
TXN10510,2024-12-18,200,Operations,TechNova Inc
TXN10178,2024-05-08,200,HR Dept,Global Supplies Ltd
TXN10379,2024-08-18,4968.92,Procurement,TechNova L.T.D.
TXN10968,2024-04-02,200,Finance Dept,Apex Holdings
TXN10272,2024-10-27,212.83,Admin Dept,Apex Holdings LLC
TXN10650,2024-06-10,640.76,Operations,QuickFix IT Solutions
TXN10220,2024-07-05,1990.99,Admin Dept,TechNova
TXN11378,2024-05-13,199.9,HR Dept,TechNova Inc
TXN11117,2024-08-30,51033.47,Finance Dept,Tech Nova
TXN10279,2024-05-28,4600.0,Procurement,Global Supplies Ltd
TXN10435,2024-09-30,5634.84,Legal Dept,A.B.C. Corp
TXN10889,2024-08-26,1097.26,Procurement,Apex Holdings Ltd
TXN10644,2024-06-13,6486.8,Procurement,TechNova Ltd
TXN10487,2024-02-18,1854.6,Admin Dept,Tech Nova
TXN10104,2024-05-03,200,Operations,Global Supplies Ltd
TXN10352,2024-04-21,200,Procurement,Global Supplies Ltd
TXN11260,2024-05-29,9.15,HR Dept,Zenith Logistics
TXN10896,2024-10-05,1784.31,Legal Dept,QuickFix IT
TXN10118,2024-02-08,466.04,HR Dept,Global Supplies Ltd
TXN19051,2024-04-30,100,HR Dept,Summit Group
TXN10437,2024-12-15,200,IT Dept,Northern Trade Co
TXN10488,2024-03-07,200.0,Legal Dept,Tech Nova
TXN10869,2024-10-16,2900.0,Admin Dept,TechNova Inc
TXN10120,2024-05-15,200,Procurement,Tech Nova
TXN19100,2024-12-28,100,Finance Dept,ABC Corp
TXN11324,2024-04-07,331.32,HR Dept,Delta Systems
TXN10698,2024-06-06,2178.72,Operations,TechNova L.T.D.
TXN10245,2024-02-04,1187.31,Admin Dept,Quick Fix IT
TXN10700,2024-10-08,200,Legal Dept,QuickFix IT
TXN11372,2024-07-04,201.0,Admin Dept,QuickFix I.T.
TXN19092,2024-01-18,100,Operations,Summit Group
TXN10750,2024-06-25,200,Legal Dept,ABC Corp.
TXN19069,2024-09-10,100,Operations,Zenith Logistics
TXN10600,2024-10-22,200,Admin Dept,BlueWave Media
TXN10705,2024-12-23,200,Admin Dept,Global Supply Co.
TXN10579,2024-04-06,200,IT Dept,BlueWave Media
TXN10712,2024-05-04,769.42,Admin Dept,Global Supplies
TXN11392,2024-13-01,500.0,IT Dept,TechNova
TXN11326,2024-03-30,199.9,IT Dept,TechNova L.T.D.
TXN10553,2024-01-11,200,Operations,Global Supply Co.
TXN10033,2024-02-25,200,Legal Dept,Pacific Services
TXN10686,2024-04-03,1600.84,Legal Dept,BlueWave Media
TXN10080,2024-03-11,223.45,Admin Dept,A.B.C. Corp
TXN10037,2024-07-13,2213.75,Finance Dept,TechNova
TXN11023,2024-03-24,1741.53,Operations,TechNova Inc
TXN10627,2024-03-23,200.0,IT Dept,BlueWave Media
TXN10142,2024-07-14,1043.65,Procurement,Delta Systems
TXN10971,2024-01-28,200,HR Dept,TechNova L.T.D.
TXN10192,2024-10-22,200,IT Dept,ABC Corp Ltd
TXN10934,2024-02-04,200.0,Finance Dept,Orion Consulting
TXN11064,2024-02-20,200,HR Dept,ABC Corp
TXN10469,2024-05-18,3224.52,Procurement,QuickFix IT
TXN19077,2024-12-20,649.72,Admin Dept,Apex Holdings
TXN10176,2024-10-16,200,HR Dept,Summit Group
TXN11313,2024-06-29,1505.34,HR Dept,GlobalSupplies
TXN10370,2024-02-17,200,Legal Dept,ABC Corporation
TXN10194,2024-11-14,257.41,Legal Dept,Global Supplies Ltd
TXN11001,2024-02-09,1087.31,HR Dept,TechNova Inc
TXN10992,2024-12-23,200,Legal Dept,TechNova L.T.D.
TXN10356,2024-02-20,230.84,Operations,QuickFixIT
TXN10032,2024-01-28,1354.3,Legal Dept,Zenith Logistics
TXN10646,2024-08-05,200,Legal Dept,Apex Hold.
TXN11395,2024-06-15,,Operations,Zenith Logistics
TXN19019,2024-04-02,772.17,Operations,QuickFix IT
TXN10348,2024-03-14,5240.97,Legal Dept,Apex Holdings Ltd
TXN11289,2024-03-05,7.38,Procurement,Northern Trade Co
TXN19065,2024-11-09,100,Procurement,Global Supplies
TXN11205,2024-07-03,49211.72,Finance Dept,TechNova L.T.D.
TXN10550,2024-08-30,200,HR Dept,Metro Vendors
TXN19011,2024-04-12,100,Operations,TechNova
TXN10007,2024-07-04,3078.8,Procurement,Apex Holdings
TXN10148,2024-02-16,200,IT Dept,Tech Nova
TXN19052,2024-08-15,258.93,Admin Dept,Apex Holdings
TXN10651,2024-10-26,200,Admin Dept,A.B.C. Corp
TXN11295,2024-01-31,7.39,Admin Dept,ABC Corp Ltd
TXN11369,2024-10-22,201.0,IT Dept,ABC Corp Ltd
TXN11207,2024-07-06,99686.82,Legal Dept,TechNova Ltd
TXN11222,2024-07-19,33178.89,Legal Dept,Tech Nova
TXN10690,2024-01-01,200,Admin Dept,Global Supplies Ltd
TXN11111,2024-09-26,77509.15,IT Dept,TechNova
TXN11185,2024-08-21,115430.52,Operations,ABC Corporation
TXN10906,2024-12-30,200,Procurement,QuickFix IT
TXN10877,2024-04-15,200,Procurement,ABC Corp.
TXN11254,2024-02-23,8.79,Admin Dept,Apex Hold.
TXN10695,2024-06-10,200,HR Dept,Apex Holdings Ltd
TXN10193,2024-10-11,200,Finance Dept,Quick Fix IT
TXN10621,2024-07-30,200,HR Dept,ABC Corp.
TXN11355,2024-04-12,532.74,Finance Dept,Quick Fix IT
TXN10757,2024-01-12,2200.0,Finance Dept,Global Supplies Ltd
TXN11142,2024-08-23,119544.71,IT Dept,ABC Corp Ltd
TXN10588,2024-09-03,200,HR Dept,Apex Holdings Ltd
TXN11245,2024-09-02,82546.16,Finance Dept,TechNova Ltd
TXN11149,2024-07-10,65212.64,Admin Dept,ABC Corp.
TXN10081,2024-07-27,1693.95,Finance Dept,QuickFix IT Solutions
TXN10954,2024-01-09,200,Legal Dept,QuickFixIT
TXN10514,2024-06-20,200,Procurement,Northern Trade Co
TXN11057,2024-08-31,1200.0,Legal Dept,Summit Group
TXN11104,2024-09-01,49159.06,Admin Dept,ABC Corp
TXN10659,2024-11-26,200,Admin Dept,QuickFixIT
TXN10365,2024-07-29,2700.0,Admin Dept,Global Supplies Ltd
TXN10814,2024-12-22,200.0,HR Dept,Summit Group
TXN11080,2024-10-20,200,Operations,QuickFix IT
TXN10339,2024-06-26,5531.93,HR Dept,QuickFixIT
TXN11318,2024-08-29,850.99,Legal Dept,Global Supplies
TXN10958,2024-11-19,200,Finance Dept,TechNova
TXN10523,2024-07-20,366.06,Finance Dept,ABC Corporation
TXN10485,2024-12-30,200,HR Dept,A.B.C. Corp
TXN10174,2024-02-01,200,Procurement,Quick Fix IT
TXN10692,2024-12-22,2789.56,Admin Dept,Summit Group
TXN10311,2024-05-19,200,Admin Dept,Apex Holdings Ltd
TXN10392,2024-09-02,200,Procurement,TechNova Ltd
TXN10317,2024-05-28,8000,Procurement,Metro Vendors
TXN10745,2024-01-15,5626.48,Legal Dept,TechNova
TXN10517,2024-10-22,3351.23,Legal Dept,Global Supplies
TXN10513,2024-06-12,1140.64,HR Dept,Quick Fix IT
TXN10231,2024-05-02,975.24,HR Dept,Global Supplies Ltd
TXN10683,2024-01-29,200,Admin Dept,ABC Corp.
TXN11167,2024-08-25,69673.52,HR Dept,Tech Nova
TXN19071,2024-12-09,119.62,IT Dept,BlueWave Media
TXN10070,2024-03-27,200,Legal Dept,Zenith Logistics
TXN10518,2024-05-30,200.0,Legal Dept,ABC Corporation
TXN10336,2024-07-12,8000,Operations,Pacific Services
TXN11018,2024-04-23,205.5,Admin Dept,Global Supply Co.
TXN11171,2024-07-24,58212.41,HR Dept,ABC Corp.
TXN11101,2024-07-31,104071.75,Procurement,TechNova Ltd
TXN11232,2024-08-24,92857.58,Admin Dept,ABC Corp
TXN10399,2024-10-01,2543.65,IT Dept,Apex Holdings Ltd
TXN10426,2024-05-01,200,Legal Dept,Summit Group
TXN10606,2024-10-20,1403.28,Operations,QuickFixIT
TXN10843,2024-08-18,200,Finance Dept,Apex Holdings Ltd
TXN11339,2024-07-13,255.45,Procurement,Metro Vendors
TXN10543,2024-03-09,2858.23,Legal Dept,Tech Nova
TXN10463,2024-05-17,816.7,Legal Dept,Pacific Services
TXN19060,2024-04-13,100,Finance Dept,TechNova
TXN11048,2024-09-13,200,HR Dept,Pacific Services
TXN11009,2024-04-03,200,Admin Dept,TechNova Inc
TXN10306,2024-10-12,461.01,HR Dept,TechNova L.T.D.
TXN19017,2024-01-06,100,Operations,Apex Holdings
TXN11037,2024-09-30,727.15,IT Dept,ABC Corp Ltd
TXN11375,2024-09-22,7999.9,HR Dept,Global Supply Co.
TXN11016,2024-01-21,1338.68,Operations,Northern Trade Co
TXN10091,2024-03-19,200,Finance Dept,Apex Holdings
TXN10974,2024-03-21,2043.32,Admin Dept,TechNova
TXN11068,2024-01-17,380.95,Finance Dept,Metro Vendors
TXN10086,2024-09-30,2724.18,HR Dept,Apex Holdings
TXN10453,2024-01-07,200,Finance Dept,Global Supply Co.
TXN19025,2024-05-24,2194.47,IT Dept,Global Supplies
TXN11252,2024-10-12,7.8,Legal Dept,Northern Trade Co
TXN11363,2024-03-26,201.0,Finance Dept,QuickFixIT
TXN10829,2024-04-28,560.56,Admin Dept,Tech Nova
TXN10888,2024-03-08,200,Operations,GlobalSupplies
TXN11257,2024-02-22,7.92,Admin Dept,Summit Group
TXN11086,2024-08-09,200,Legal Dept,TechNova Inc
TXN10963,2024-03-27,306.32,Legal Dept,QuickFix IT Solutions
TXN10334,2024-02-05,200,Finance Dept,Delta Systems
TXN11067,2024-09-08,5792.73,Procurement,Global Supplies
TXN10857,2024-07-30,200,IT Dept,Global Supply Co.
TXN10375,2024-12-30,200,HR Dept,BlueWave Media
TXN10976,2024-02-26,341.91,IT Dept,Tech Nova
TXN10810,2024-03-16,200.0,Admin Dept,Delta Systems
TXN10340,2024-12-04,200,Finance Dept,ABC Corporation
TXN19034,2024-07-23,646.08,HR Dept,Summit Group
TXN10067,2024-07-13,255.44,Procurement,Metro Vendors
TXN11198,2024-07-11,75091.48,Procurement,TechNova L.T.D.
TXN10638,2024-04-04,307.29,Admin Dept,Tech Nova
TXN10040,2024-09-28,200,Admin Dept,Delta Systems
TXN11341,2024-03-12,8000.1,IT Dept,TechNova
TXN10912,2024-05-01,200,Admin Dept,Global Supplies
TXN10883,2024-05-25,200,Procurement,Summit Group
TXN10824,2024-04-13,200,Admin Dept,Apex Hold.
TXN10727,2024-07-24,1210.53,IT Dept,Quick Fix IT
TXN10630,2024-12-22,200,HR Dept,Global Supply Co.
TXN10734,2024-12-13,334.41,IT Dept,Pacific Services
TXN10373,2024-05-18,200,Admin Dept,Global Supplies
TXN10799,2024-11-04,200,Procurement,Pacific Services
TXN11297,2024-11-29,3.86,Finance Dept,BlueWave Media
TXN10217,2024-01-22,3462.71,Legal Dept,Zenith Logistics
TXN11343,2024-04-19,199.99,Finance Dept,ABC Corp
TXN10676,2024-03-30,583.49,Admin Dept,GlobalSupplies
TXN10671,2024-11-10,200,Procurement,Tech Nova
TXN11269,2024-08-07,4.5,HR Dept,ABC Corp.
TXN10054,2024-02-22,200,HR Dept,Apex Hold.
TXN10796,2024-03-29,200,Legal Dept,Global Supplies
TXN11049,2024-01-08,200.0,Legal Dept,GlobalSupplies
TXN11114,2024-08-08,33573.78,Legal Dept,ABC Corp Ltd
TXN19089,2024-03-31,100,HR Dept,Apex Holdings
TXN11051,2024-08-31,200,Legal Dept,Apex Holdings Ltd
TXN10648,2024-06-18,200,Operations,Apex Holdings Ltd
TXN11208,2024-08-10,32912.6,Procurement,ABC Corp.
TXN10002,2024-04-29,200.0,Finance Dept,TechNova Ltd
TXN11007,2024-05-13,256.73,IT Dept,TechNova
TXN11170,2024-07-16,68487.17,Finance Dept,A.B.C. Corp
TXN10387,2024-03-12,200,Operations,TechNova
TXN10773,2024-08-27,1189.78,IT Dept,QuickFix IT
TXN50001,2024-08-01,750000.0,Finance Dept,TechNova L.T.D.
TXN11137,2024-08-25,36148.3,Procurement,TechNova L.T.D.
TXN10933,2024-06-21,200,HR Dept,Global Supply Co.
TXN10998,2024-09-05,3300.0,IT Dept,QuickFixIT
TXN19036,2024-07-03,146.32,Procurement,Apex Holdings
TXN10875,2024-09-13,200.0,Operations,Northern Trade Co
TXN10445,2024-06-02,200,IT Dept,Quick Fix IT
TXN10675,2024-02-22,2900.0,Procurement,QuickFix IT
TXN19006,2024-08-24,100,Finance Dept,ABC Corp
TXN11306,2024-07-03,6.03,Legal Dept,BlueWave Media
TXN11180,2024-09-23,84693.89,IT Dept,TechNova Inc
TXN10288,2024-08-28,200,Procurement,Apex Hold.
TXN10110,2024-06-03,200,IT Dept,TechNova
TXN10884,2024-08-15,200,IT Dept,Global Supplies Ltd
TXN10303,2024-03-11,2872.82,Finance Dept,Apex Holdings Ltd
TXN10270,2024-09-02,200,Procurement,Zenith Logistics
TXN11223,2024-07-22,70028.96,Finance Dept,ABC Corporation
TXN10048,2024-04-17,200,IT Dept,Apex Holdings
TXN11393,2024-02-30,1200.5,Admin Dept,QuickFix IT
TXN11272,2024-03-15,3.93,Finance Dept,QuickFixIT
TXN10358,2024-10-26,200.0,Admin Dept,Delta Systems
TXN10411,2024-02-02,200,Legal Dept,Apex Holdings Ltd
TXN11021,2024-08-06,200,HR Dept,Apex Holdings Ltd
TXN10498,2024-08-29,200,IT Dept,ABC Corporation
TXN10551,2024-12-18,334.42,IT Dept,Zenith Logistics
TXN10996,2024-09-01,200,Finance Dept,Apex Holdings LLC
TXN11060,2024-10-31,200,IT Dept,TechNova Ltd
TXN10302,2024-04-14,200,Operations,Apex Holdings Ltd
TXN10535,2024-02-04,200,Procurement,Delta Systems
TXN10725,2024-05-12,200,IT Dept,Apex Holdings
TXN10036,2024-03-26,200,Legal Dept,Tech Nova
TXN10673,2024-04-28,5900.0,Legal Dept,Global Supplies
TXN11154,2024-08-20,72931.49,Operations,ABC Corp.
TXN19046,2024-12-13,100,HR Dept,BlueWave Media
TXN10719,2024-02-24,200,IT Dept,ABC Corp.
TXN10822,2024-02-14,200,Procurement,ABC Corp.
TXN11290,2024-04-19,5.44,Admin Dept,TechNova Inc
TXN11083,2024-01-25,200,IT Dept,TechNova L.T.D.
TXN11181,2024-08-27,25551.51,Finance Dept,TechNova Inc
TXN10179,2024-05-01,200.0,Finance Dept,Quick Fix IT
TXN11308,2024-02-01,8.36,Finance Dept,A.B.C. Corp
TXN10819,2024-03-21,200,Operations,QuickFix I.T.
TXN10808,2024-08-14,416.93,Legal Dept,Summit Group
TXN19087,2024-01-11,121.81,Procurement,BlueWave Media
TXN11202,2024-07-14,77344.46,Finance Dept,TechNova L.T.D.
TXN11255,2024-08-22,7.2,Operations,Summit Group
TXN10780,2024-05-11,1657.92,Procurement,GlobalSupplies
TXN10685,2024-09-03,794.73,Admin Dept,Global Supplies
TXN10570,2024-08-22,200,Operations,GlobalSupplies
TXN10878,2024-06-08,5387.59,Finance Dept,ABC Corp
TXN10031,2024-02-18,1243.0,Operations,TechNova Ltd
TXN10388,2024-08-03,200.0,Operations,TechNova L.T.D.
TXN10793,2024-10-10,200,Legal Dept,TechNova L.T.D.
TXN10599,2024-01-24,200,Operations,QuickFixIT
TXN10350,2024-07-08,220.33,Operations,Pacific Services
TXN11216,2024-08-16,53766.0,Legal Dept,TechNova Inc
TXN10416,2024-07-15,200,HR Dept,GlobalSupplies
TXN10177,2024-03-16,200,HR Dept,QuickFix IT
TXN10633,2024-04-09,675.51,Admin Dept,TechNova Ltd
TXN11082,2024-09-11,616.66,Operations,TechNova Ltd
TXN11141,2024-07-28,65974.32,HR Dept,TechNova Inc
TXN10922,2024-11-05,200,Procurement,ABC Corp Ltd
TXN10482,2024-02-24,200,Finance Dept,ABC Corp.
TXN11311,2024-11-12,400.01,IT Dept,TechNova
TXN10850,2024-01-04,3453.74,Admin Dept,Apex Holdings
TXN10127,2024-10-26,200,IT Dept,TechNova
TXN10027,2024-09-21,200,IT Dept,QuickFixIT
TXN10991,2024-11-17,662.68,Finance Dept,Pacific Services
TXN19009,2024-12-16,100,Procurement,BlueWave Media
